16,     Tzolk'in: The Mayan Calendar,     /boardgame/126163/tzolk-mayan-calendar, 7.833, 8, 10095, 2012, 2,     4, 4, 13, 90, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False,     <(Ancient)><(Civilization)><(Economic)><(Farming)><(Mythology)>,    <(Strategy Games)>,     <(Set Collection)><(Worker Placement)>
17,     Caylus,     /boardgame/18602/caylus, 7.802, 7.91, 18285, 2005, 2,     5, 3, 12, 120, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False,     <(City Building)><(Economic)><(Medieval)>,    <(Strategy Games)>,     <(Worker Placement)>
18,     7 Wonders,     /boardgame/68448/7-wonders, 7.801, 7.88, 31793, 2010, 2,     7, 4, 10, 30, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Ancient)><(Card Game)><(Civilization)>,    <(Family Games)><(Strategy Games)>,     <(Card Drafting)><(Set Collection)><(Simultaneous Action Selection)><(Variable Player Powers)>
19,     Dominion: Intrigue,     /boardgame/40834/dominion-intrigue, 7.765, 7.88, 17773, 2009, 2,     4, 3, 13, 30, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Card Game)><(Medieval)>,    <(Strategy Games)>,     <(Card Drafting)><(Deck / Pool Building)><(Hand Management)>
20,     El Grande,     /boardgame/93/el-grande, 7.733, 7.84, 15097, 1995, 2,     5, 5, 12, 90, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False,     <(Renaissance)>,    <(Strategy Games)>,     <(Area Control / Area Influence)><(Area Movement)><(Auction/Bidding)><(Card Drafting)><(Hand Management)><(Memory)><(Simultaneous Action Selection)>
21,     Star Wars: X-Wing Miniatures Game,     /boardgame/103885/star-wars-x-wing-miniatures-game, 7.731, 7.96, 9174, 2012, 2,     4, 2, 14, 60, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False,     <(Aviation / Flight)><(Collectible Components)><(Miniatures)><(Movies / TV / Radio theme)><(Science Fiction)><(Wargame)>,    <(Customizable Games)><(Wargames)>,     <(Action / Movement Programming)><(Dice Rolling)><(Player Elimination)><(Simultaneous Action Selection)><(Variable Player Powers)>
22,     Race for the Galaxy,     /boardgame/28143/race-galaxy, 7.731, 7.81, 26427, 2007, 2,     4, 2, 12, 30, True, False, False, True, False, False, False, True, False, False, False, False, False, False, False,     <(Card Game)><(Civilization)><(Economic)><(Science Fiction)><(Space Exploration)>,    <(Strategy Games)>,     <(Hand Management)><(Simultaneous Action Selection)><(Variable Phase Order)><(Variable Player Powers)>
23,     Dominant Species,     /boardgame/62219/dominant-species, 7.729, 7.9, 9160, 2010, 2,     6, 4, 14, 180, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False,     <(Animals)><(Environmental)><(Prehistoric)>,    <(Strategy Games)>,     <(Area Control / Area Influence)><(Card Drafting)><(Grid Movement)><(Modular Board)><(Tile Placement)><(Variable Player Powers)><(Worker Placement)>
24,     Eldritch Horror,     /boardgame/146021/eldritch-horror, 7.713, 8.04, 5688, 2013, 1,     8, 4, 14, 180, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False,     <(Adventure)><(Fighting)><(Horror)><(Novel-based)><(Travel)>,    <(Thematic Games)>,     <(Card Drafting)><(Co-operative Play)><(Dice Rolling)><(Point to Point Movement)><(Role Playing)><(Time Track)><(Variable Player Powers)>
25,     Battlestar Galactica,     /boardgame/37111/battlestar-galactica, 7.712, 7.84, 19107, 2008, 3,     6, 5, 10, 180, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False,     <(Bluffing)><(Deduction)><(Movies / TV / Radio theme)><(Negotiation)><(Political)><(Science Fiction)><(Space Exploration)><(Spies/Secret Agents)>,    <(Thematic Games)>,     <(Area Movement)><(Dice Rolling)><(Hand Management)><(Partnerships)><(Role Playing)><(Variable Player Powers)>
